Emission,time,comp,Type,intensity1,position,d1_time,Totalbio,Leaf3,Channel_number
0.009030112,3,IGL,b,12,Leaf3,1,1,1,4
0.802758929,3,TPS2,b,12,Leaf3,1,1,1,4
4.767905432,3,TPS10,b,12,Leaf3,1,1,1,4
0.0019316,5,CYP92C5,b,12,Leaf3,1,1,1,4
0.002370742,5,IGL,b,12,Leaf3,1,1,1,4
0.502366807,5,TPS2,b,12,Leaf3,1,1,1,4
2.343525233,5,TPS10,b,12,Leaf3,1,1,1,4
0.0091379,0,CYP92C5,b,12,Leaf3,1,1,1,5
0.00773597,0,IGL,b,12,Leaf3,1,1,1,5
0.062078283,0,TPS2,b,12,Leaf3,1,1,1,5
0.003062103,0,TPS10,b,12,Leaf3,1,1,1,5
0.040976,0.5,CYP92C5,b,12,Leaf3,1,1,1,5
0.04790657,0.5,IGL,b,12,Leaf3,1,1,1,5
0.312524775,0.5,TPS2,b,12,Leaf3,1,1,1,5
0.496210243,0.5,TPS10,b,12,Leaf3,1,1,1,5
0.0438768,1,CYP92C5,b,12,Leaf3,1,1,1,5
0.032947723,1,IGL,b,12,Leaf3,1,1,1,5
1.206696488,1,TPS2,b,12,Leaf3,1,1,1,5
3.417966254,1,TPS10,b,12,Leaf3,1,1,1,5
0.0031952,1.5,CYP92C5,b,12,Leaf3,1,1,1,5
0.007078673,1.5,IGL,b,12,Leaf3,1,1,1,5
0.416768469,1.5,TPS2,b,12,Leaf3,1,1,1,5
2.189929923,1.5,TPS10,b,12,Leaf3,1,1,1,5
0.0117117,2,CYP92C5,b,12,Leaf3,1,1,1,5
0.007088787,2,IGL,b,12,Leaf3,1,1,1,5
0.374913338,2,TPS2,b,12,Leaf3,1,1,1,5
1.662036033,2,TPS10,b,12,Leaf3,1,1,1,5
0.0126616,3,CYP92C5,b,12,Leaf3,1,1,1,5
0.00660411,3,IGL,b,12,Leaf3,1,1,1,5
0.960181834,3,TPS2,b,12,Leaf3,1,1,1,5
4.402516279,3,TPS10,b,12,Leaf3,1,1,1,5
0.0012825,5,CYP92C5,b,12,Leaf3,1,1,1,5
0.00201514,5,IGL,b,12,Leaf3,1,1,1,5
0.275937625,5,TPS2,b,12,Leaf3,1,1,1,5
2.239877875,5,TPS10,b,12,Leaf3,1,1,1,5
0.0185875,0,CYP92C5,a,0,,,1,1,6
0.01847945,0.5,CYP92C5,a,0,,,1,1,6
0.0183714,1,CYP92C5,a,0,,,1,1,6
0.018263349999999998,1.5,CYP92C5,a,0,,,1,1,6
0.0181553,2,CYP92C5,a,0,,,1,1,6
0.012791633333333333,3,CYP92C5,a,0,,,1,1,6
0.0020643,5,CYP92C5,a,0,,,1,1,6
0.013265602,0,IGL,a,0,,,1,1,7
0.011726274,0.5,IGL,a,0,,,1,1,7
0.010186945499999999,1,IGL,a,0,,,1,1,7
0.008647617,1.5,IGL,a,0,,,1,1,7
0.007108289,2,IGL,a,0,,,1,1,7
0.005228776,3,IGL,a,0,,,1,1,7
0.00146975,5,IGL,a,0,,,1,1,7
0.002119085,0,TPS10,a,0,,,1,1,8
0.018346810999999998,0.5,TPS10,a,0,,,1,1,8
0.034574536999999995,1,TPS10,a,0,,,1,1,8
0.050802263,1.5,TPS10,a,0,,,1,1,8
0.067029989,2,TPS10,a,0,,,1,1,8
0.04574836,3,TPS10,a,0,,,1,1,8
0.003185101,5,TPS10,a,0,,,1,1,8
0.060090836,0,TPS2,a,0,,,1,1,9
0.071083668,0.5,TPS2,a,0,,,1,1,9
0.0820765,1,TPS2,a,0,,,1,1,9
0.093069331,1.5,TPS2,a,0,,,1,1,9
0.104062163,2,TPS2,a,0,,,1,1,9
0.076888853,3,TPS2,a,0,,,1,1,9
0.022542233,5,TPS2,a,0,,,1,1,9
0.0082703,0,CYP92C5,a,0,,,1,1,10
0.00855475,0.5,CYP92C5,a,0,,,1,1,10
0.0088392,1,CYP92C5,a,0,,,1,1,10
0.00912365,1.5,CYP92C5,a,0,,,1,1,10
0.0094081,2,CYP92C5,a,0,,,1,1,10
0.006796767,3,CYP92C5,a,0,,,1,1,10
0.0015741,5,CYP92C5,a,0,,,1,1,10
0.006976096,0,IGL,a,0,,,1,1,11
0.006201821,0.5,IGL,a,0,,,1,1,11
0.005427546,1,IGL,a,0,,,1,1,11
0.00465327,1.5,IGL,a,0,,,1,1,11
0.003878995,2,IGL,a,0,,,1,1,11
0.002912619,3,IGL,a,0,,,1,1,11
