,Emission,Channel_number,comp,time,Type,intensity1,position,d1_time,Totalbio,Leaf3
161,5.02339,13,hexo,-12,b,6,Leaf3,10.5,3.23,NA
162,5.63718,13,hexo,-10,b,6,Leaf3,10.5,3.23,NA
163,6.04753,13,hexo,-8,b,6,Leaf3,10.5,3.23,NA
164,6.04201,13,hexo,-6,b,6,Leaf3,10.5,3.23,NA
165,6.66627,13,hexo,-4,b,6,Leaf3,10.5,3.23,NA
166,5.12655,13,hexo,-2,b,6,Leaf3,10.5,3.23,NA
167,6.12519,13,hexo,0,b,6,Leaf3,10.5,3.23,NA
168,46.7735,13,hexo,2,b,6,Leaf3,10.5,3.23,NA
169,73.4588,13,hexo,4,b,6,Leaf3,10.5,3.23,NA
170,82.0199,13,hexo,6,b,6,Leaf3,10.5,3.23,NA
171,75.5693,13,hexo,8,b,6,Leaf3,10.5,3.23,NA
172,65.6778,13,hexo,10,b,6,Leaf3,10.5,3.23,NA
173,53.3511,13,hexo,12,b,6,Leaf3,10.5,3.23,NA
174,44.3158,13,hexo,14,b,6,Leaf3,10.5,3.23,NA
175,33.4577,13,hexo,16,b,6,Leaf3,10.5,3.23,NA
176,31.6797,13,hexo,18,b,6,Leaf3,10.5,3.23,NA
177,23.9623,13,hexo,20,b,6,Leaf3,10.5,3.23,NA
178,20.2809,13,hexo,22,b,6,Leaf3,10.5,3.23,NA
179,18.3446,13,hexo,24,b,6,Leaf3,10.5,3.23,NA
180,15.8535,13,hexo,26,b,6,Leaf3,10.5,3.23,NA
181,14.7937,13,hexo,28,b,6,Leaf3,10.5,3.23,NA
182,10.5656,13,hexo,30,b,6,Leaf3,10.5,3.23,NA
183,11.9318,13,hexo,32,b,6,Leaf3,10.5,3.23,NA
184,11.2001,13,hexo,34,b,6,Leaf3,10.5,3.23,NA
185,9.04932,13,hexo,36,b,6,Leaf3,10.5,3.23,NA
186,10.2059,13,hexo,38,b,6,Leaf3,10.5,3.23,NA
187,8.37232,13,hexo,40,b,6,Leaf3,10.5,3.23,NA
188,8.16159,13,hexo,42,b,6,Leaf3,10.5,3.23,NA
189,7.87475,13,hexo,44,b,6,Leaf3,10.5,3.23,NA
190,5.76758,13,hexo,46,b,6,Leaf3,10.5,3.23,NA
191,7.41229,13,hexo,48,b,6,Leaf3,10.5,3.23,NA
192,7.05921,13,hexo,50,b,6,Leaf3,10.5,3.23,NA
193,1e-08,18,HAC,-12,b,6,Leaf3,10.5,2.671,NA
194,0.96952,18,HAC,-10,b,6,Leaf3,10.5,2.671,NA
195,2.16831,18,HAC,-8,b,6,Leaf3,10.5,2.671,NA
196,1.19433,18,HAC,-6,b,6,Leaf3,10.5,2.671,NA
197,0.991458,18,HAC,-4,b,6,Leaf3,10.5,2.671,NA
198,1.47509,18,HAC,-2,b,6,Leaf3,10.5,2.671,NA
199,1.68618,18,HAC,0,b,6,Leaf3,10.5,2.671,NA
200,2.48775,18,HAC,2,b,6,Leaf3,10.5,2.671,NA
201,13.7316,18,HAC,4,b,6,Leaf3,10.5,2.671,NA
202,25.5113,18,HAC,6,b,6,Leaf3,10.5,2.671,NA
203,29.0746,18,HAC,8,b,6,Leaf3,10.5,2.671,NA
204,31.4507,18,HAC,10,b,6,Leaf3,10.5,2.671,NA
205,32.7105,18,HAC,12,b,6,Leaf3,10.5,2.671,NA
206,33.3486,18,HAC,14,b,6,Leaf3,10.5,2.671,NA
207,25.0841,18,HAC,16,b,6,Leaf3,10.5,2.671,NA
208,24.6791,18,HAC,18,b,6,Leaf3,10.5,2.671,NA
209,17.9462,18,HAC,20,b,6,Leaf3,10.5,2.671,NA
210,16.4773,18,HAC,22,b,6,Leaf3,10.5,2.671,NA
211,12.5156,18,HAC,24,b,6,Leaf3,10.5,2.671,NA
212,10.0675,18,HAC,26,b,6,Leaf3,10.5,2.671,NA
213,8.17381,18,HAC,28,b,6,Leaf3,10.5,2.671,NA
214,8.42648,18,HAC,30,b,6,Leaf3,10.5,2.671,NA
215,6.43944,18,HAC,32,b,6,Leaf3,10.5,2.671,NA
216,5.0071,18,HAC,34,b,6,Leaf3,10.5,2.671,NA
217,5.15428,18,HAC,36,b,6,Leaf3,10.5,2.671,NA
218,3.88581,18,HAC,38,b,6,Leaf3,10.5,2.671,NA
219,3.64631,18,HAC,40,b,6,Leaf3,10.5,2.671,NA
220,2.93054,18,HAC,42,b,6,Leaf3,10.5,2.671,NA
221,3.47487,18,HAC,44,b,6,Leaf3,10.5,2.671,NA
222,3.06402,18,HAC,46,b,6,Leaf3,10.5,2.671,NA
223,2.53712,18,HAC,48,b,6,Leaf3,10.5,2.671,NA
224,2.25859,18,HAC,50,b,6,Leaf3,10.5,2.671,NA
225,2.32085,18,hexa,-12,b,6,Leaf3,10.5,2.671,NA
226,1.9619,18,hexa,-10,b,6,Leaf3,10.5,2.671,NA
227,0.624925,18,hexa,-8,b,6,Leaf3,10.5,2.671,NA
228,3.23188,18,hexa,-6,b,6,Leaf3,10.5,2.671,NA
229,3.79227,18,hexa,-4,b,6,Leaf3,10.5,2.671,NA
230,2.10854,18,hexa,-2,b,6,Leaf3,10.5,2.671,NA
231,2.90303,18,hexa,0,b,6,Leaf3,10.5,2.671,NA
232,2703.31,18,hexa,2,b,6,Leaf3,10.5,2.671,NA
233,5243.79,18,hexa,4,b,6,Leaf3,10.5,2.671,NA
234,4486.86,18,hexa,6,b,6,Leaf3,10.5,2.671,NA
235,2648.66,18,hexa,8,b,6,Leaf3,10.5,2.671,NA
236,1737.79,18,hexa,10,b,6,Leaf3,10.5,2.671,NA
237,1080.75,18,hexa,12,b,6,Leaf3,10.5,2.671,NA
238,653.065,18,hexa,14,b,6,Leaf3,10.5,2.671,NA
239,407.894,18,hexa,16,b,6,Leaf3,10.5,2.671,NA
240,326.831,18,hexa,18,b,6,Leaf3,10.5,2.671,NA
241,216.425,18,hexa,20,b,6,Leaf3,10.5,2.671,NA
242,168.111,18,hexa,22,b,6,Leaf3,10.5,2.671,NA
243,135.352,18,hexa,24,b,6,Leaf3,10.5,2.671,NA
244,115.813,18,hexa,26,b,6,Leaf3,10.5,2.671,NA
245,113.639,18,hexa,28,b,6,Leaf3,10.5,2.671,NA
246,92.9553,18,hexa,30,b,6,Leaf3,10.5,2.671,NA
247,79.3874,18,hexa,32,b,6,Leaf3,10.5,2.671,NA
248,69.7458,18,hexa,34,b,6,Leaf3,10.5,2.671,NA
249,61.8468,18,hexa,36,b,6,Leaf3,10.5,2.671,NA
250,54.0055,18,hexa,38,b,6,Leaf3,10.5,2.671,NA
251,50.2961,18,hexa,40,b,6,Leaf3,10.5,2.671,NA
252,41.869,18,hexa,42,b,6,Leaf3,10.5,2.671,NA
253,40.9764,18,hexa,44,b,6,Leaf3,10.5,2.671,NA
254,33.012,18,hexa,46,b,6,Leaf3,10.5,2.671,NA
255,27.8642,18,hexa,48,b,6,Leaf3,10.5,2.671,NA
256,31.432,18,hexa,50,b,6,Leaf3,10.5,2.671,NA
257,4.53319,18,hexo,-12,b,6,Leaf3,10.5,2.671,NA
258,4.84384,18,hexo,-10,b,6,Leaf3,10.5,2.671,NA
259,5.63386,18,hexo,-8,b,6,Leaf3,10.5,2.671,NA
260,6.1426,18,hexo,-6,b,6,Leaf3,10.5,2.671,NA
261,4.84365,18,hexo,-4,b,6,Leaf3,10.5,2.671,NA
262,5.32906,18,hexo,-2,b,6,Leaf3,10.5,2.671,NA
263,5.02686,18,hexo,0,b,6,Leaf3,10.5,2.671,NA
264,25.9137,18,hexo,2,b,6,Leaf3,10.5,2.671,NA
265,53.5446,18,hexo,4,b,6,Leaf3,10.5,2.671,NA
266,75.6404,18,hexo,6,b,6,Leaf3,10.5,2.671,NA
267,65.1779,18,hexo,8,b,6,Leaf3,10.5,2.671,NA
268,63.3582,18,hexo,10,b,6,Leaf3,10.5,2.671,NA
269,53.7498,18,hexo,12,b,6,Leaf3,10.5,2.671,NA
270,46.2573,18,hexo,14,b,6,Leaf3,10.5,2.671,NA
271,33.9854,18,hexo,16,b,6,Leaf3,10.5,2.671,NA
272,32.5415,18,hexo,18,b,6,Leaf3,10.5,2.671,NA
273,26.5987,18,hexo,20,b,6,Leaf3,10.5,2.671,NA
274,24.5622,18,hexo,22,b,6,Leaf3,10.5,2.671,NA
275,18.513,18,hexo,24,b,6,Leaf3,10.5,2.671,NA
276,17.1576,18,hexo,26,b,6,Leaf3,10.5,2.671,NA
277,16.6488,18,hexo,28,b,6,Leaf3,10.5,2.671,NA
278,14.2692,18,hexo,30,b,6,Leaf3,10.5,2.671,NA
279,12.6252,18,hexo,32,b,6,Leaf3,10.5,2.671,NA
280,9.45072,18,hexo,34,b,6,Leaf3,10.5,2.671,NA
281,11.2709,18,hexo,36,b,6,Leaf3,10.5,2.671,NA
282,9.61066,18,hexo,38,b,6,Leaf3,10.5,2.671,NA
283,8.40357,18,hexo,40,b,6,Leaf3,10.5,2.671,NA
284,8.0118,18,hexo,42,b,6,Leaf3,10.5,2.671,NA
285,8.58221,18,hexo,44,b,6,Leaf3,10.5,2.671,NA
286,7.96003,18,hexo,46,b,6,Leaf3,10.5,2.671,NA
287,6.09627,18,hexo,48,b,6,Leaf3,10.5,2.671,NA
288,6.15472,18,hexo,50,b,6,Leaf3,10.5,2.671,NA
