Channel_number,Emission,Type,time,comp,Totalbio,d1_time,intensity1,Leaf3
68,1159.98,l3,3.833333333,DMNT,1,1,1,1
68,1128.6,l3,4,DMNT,1,1,1,1
68,1110.57,l3,4.166666667,DMNT,1,1,1,1
68,1013.61,l3,4.333333333,DMNT,1,1,1,1
68,1020.57,l3,4.5,DMNT,1,1,1,1
68,1010.93,l3,4.666666667,DMNT,1,1,1,1
68,943.771,l3,4.833333333,DMNT,1,1,1,1
68,882.63,l3,5,DMNT,1,1,1,1
68,820.007,l3,5.166666667,DMNT,1,1,1,1
68,830.468,l3,5.333333333,DMNT,1,1,1,1
68,738.206,l3,5.5,DMNT,1,1,1,1
68,677.545,l3,5.666666667,DMNT,1,1,1,1
68,676.335,l3,5.833333333,DMNT,1,1,1,1
68,623.981,l3,6,DMNT,1,1,1,1
68,599.587,l3,6.166666667,DMNT,1,1,1,1
68,562.466,l3,6.333333333,DMNT,1,1,1,1
68,535.93,l3,6.5,DMNT,1,1,1,1
68,529.696,l3,6.666666667,DMNT,1,1,1,1
68,462.786,l3,6.833333333,DMNT,1,1,1,1
68,492.903,l3,7,DMNT,1,1,1,1
68,415.984,l3,7.166666667,DMNT,1,1,1,1
68,435.654,l3,7.333333333,DMNT,1,1,1,1
68,430.398,l3,7.5,DMNT,1,1,1,1
68,441.764,l3,7.666666667,DMNT,1,1,1,1
68,361.927,l3,7.833333333,DMNT,1,1,1,1
68,346.826,l3,8,DMNT,1,1,1,1
68,344.816,l3,8.166666667,DMNT,1,1,1,1
68,293.929,l3,8.333333333,DMNT,1,1,1,1
68,306.063,l3,8.5,DMNT,1,1,1,1
68,291.013,l3,8.666666667,DMNT,1,1,1,1
68,242.644,l3,8.833333333,DMNT,1,1,1,1
68,241.845,l3,9,DMNT,1,1,1,1
68,216.401,l3,9.166666667,DMNT,1,1,1,1
71,6.95688,a,-0.666666667,DMNT,1,1,1,1
71,4.11041,a,-0.5,DMNT,1,1,1,1
71,1.00E-08,a,-0.333333333,DMNT,1,1,1,1
71,7.80762,a,-0.166666667,DMNT,1,1,1,1
71,3.88564,a,0,DMNT,1,1,1,1
71,7.69194,a,0.166666667,DMNT,1,1,1,1
71,7.12772,a,0.333333333,DMNT,1,1,1,1
71,14.0127,a,0.5,DMNT,1,1,1,1
71,9.04485,a,0.666666667,DMNT,1,1,1,1
71,12.2645,a,0.833333333,DMNT,1,1,1,1
71,6.23377,a,1,DMNT,1,1,1,1
71,12.5107,a,1.166666667,DMNT,1,1,1,1
71,13.9615,a,1.333333333,DMNT,1,1,1,1
71,10.374,a,1.5,DMNT,1,1,1,1
71,9.635,a,1.666666667,DMNT,1,1,1,1
71,18.0167,a,1.833333333,DMNT,1,1,1,1
71,17.0988,a,2,DMNT,1,1,1,1
71,1.00E-08,a,2.166666667,DMNT,1,1,1,1
71,17.9285,a,2.333333333,DMNT,1,1,1,1
71,0.159952,a,2.5,DMNT,1,1,1,1
71,1.00E-08,a,2.666666667,DMNT,1,1,1,1
71,1.00E-08,a,2.833333333,DMNT,1,1,1,1
71,10.3956,a,3,DMNT,1,1,1,1
71,12.6695,a,3.166666667,DMNT,1,1,1,1
71,16.711,a,3.333333333,DMNT,1,1,1,1
71,1.00E-08,a,3.5,DMNT,1,1,1,1
71,9.52077,a,3.666666667,DMNT,1,1,1,1
71,1.00E-08,a,3.833333333,DMNT,1,1,1,1
71,1.00E-08,a,4,DMNT,1,1,1,1
71,8.10559,a,4.166666667,DMNT,1,1,1,1
71,16.6146,a,4.333333333,DMNT,1,1,1,1
71,1.00E-08,a,4.5,DMNT,1,1,1,1
71,1.00E-08,a,4.666666667,DMNT,1,1,1,1
71,19.8916,a,4.833333333,DMNT,1,1,1,1
71,18.8567,a,5,DMNT,1,1,1,1
71,1.00E-08,a,5.166666667,DMNT,1,1,1,1
71,19.0037,a,5.333333333,DMNT,1,1,1,1
71,20.1402,a,5.5,DMNT,1,1,1,1
71,14.0001,a,5.666666667,DMNT,1,1,1,1
71,19.4504,a,5.833333333,DMNT,1,1,1,1
71,12.3845,a,6,DMNT,1,1,1,1
71,13.5363,a,6.166666667,DMNT,1,1,1,1
71,5.81164,a,6.333333333,DMNT,1,1,1,1
71,15.5139,a,6.5,DMNT,1,1,1,1
71,4.97665,a,6.666666667,DMNT,1,1,1,1
71,10.8619,a,6.833333333,DMNT,1,1,1,1
71,12.105,a,7,DMNT,1,1,1,1
71,10.2286,a,7.166666667,DMNT,1,1,1,1
71,10.2583,a,7.333333333,DMNT,1,1,1,1
71,16.3212,a,7.5,DMNT,1,1,1,1
71,8.60651,a,7.666666667,DMNT,1,1,1,1
71,3.45762,a,7.833333333,DMNT,1,1,1,1
71,1.00E-08,a,8,DMNT,1,1,1,1
71,6.5984,a,8.166666667,DMNT,1,1,1,1
71,6.39265,a,8.333333333,DMNT,1,1,1,1
71,4.24186,a,8.5,DMNT,1,1,1,1
71,10.5378,a,8.666666667,DMNT,1,1,1,1
71,11.4708,a,8.833333333,DMNT,1,1,1,1
71,5.7482,a,9,DMNT,1,1,1,1
71,1.00E-08,a,9.166666667,DMNT,1,1,1,1
72,1.885,l4,-0.666666667,DMNT,1,1,1,1
72,6.9816,l4,-0.5,DMNT,1,1,1,1
72,2.29531,l4,-0.333333333,DMNT,1,1,1,1
72,6.77559,l4,-0.166666667,DMNT,1,1,1,1
72,5.18554,l4,0,DMNT,1,1,1,1
72,9.67391,l4,0.166666667,DMNT,1,1,1,1
72,12.876,l4,0.333333333,DMNT,1,1,1,1
72,13.9731,l4,0.5,DMNT,1,1,1,1
72,8.7554,l4,0.666666667,DMNT,1,1,1,1
72,13.8665,l4,0.833333333,DMNT,1,1,1,1
72,27.1393,l4,1,DMNT,1,1,1,1
72,28.2966,l4,1.166666667,DMNT,1,1,1,1
72,47.3248,l4,1.333333333,DMNT,1,1,1,1
72,87.1525,l4,1.5,DMNT,1,1,1,1
72,123.162,l4,1.666666667,DMNT,1,1,1,1
72,190.474,l4,1.833333333,DMNT,1,1,1,1
72,224.345,l4,2,DMNT,1,1,1,1
72,325.083,l4,2.166666667,DMNT,1,1,1,1
72,339.851,l4,2.333333333,DMNT,1,1,1,1
72,331.904,l4,2.5,DMNT,1,1,1,1
72,329.241,l4,2.666666667,DMNT,1,1,1,1
72,312.417,l4,2.833333333,DMNT,1,1,1,1
72,174.602,l4,3,DMNT,1,1,1,1
72,302.616,l4,3.166666667,DMNT,1,1,1,1
72,246.622,l4,3.333333333,DMNT,1,1,1,1
72,242.773,l4,3.5,DMNT,1,1,1,1
72,22.4286,l4,3.666666667,DMNT,1,1,1,1
72,38.4321,l4,3.833333333,DMNT,1,1,1,1
72,225.991,l4,4,DMNT,1,1,1,1
72,188.67,l4,4.166666667,DMNT,1,1,1,1
72,188.897,l4,4.333333333,DMNT,1,1,1,1
72,169.101,l4,4.5,DMNT,1,1,1,1
