,Emission,Channel_number,comp,time,Type,intensity1,position,d1_time,Totalbio,Leaf3
173,21.5537,54,mono,19.5,a,NA,Wholeplant,NA,54,54
174,18.3868,54,mono,20,a,NA,Wholeplant,NA,54,54
175,23.1865,54,mono,20.5,a,NA,Wholeplant,NA,54,54
176,25.7774,54,mono,21,a,NA,Wholeplant,NA,54,54
177,4.84986,54,sesq,-1,a,NA,Wholeplant,NA,54,54
178,4.8777,54,sesq,-0.5,a,NA,Wholeplant,NA,54,54
179,4.14785,54,sesq,0,a,NA,Wholeplant,NA,54,54
180,2.72778,54,sesq,0.5,a,NA,Wholeplant,NA,54,54
181,2.99614,54,sesq,1,a,NA,Wholeplant,NA,54,54
182,2.70801,54,sesq,1.5,a,NA,Wholeplant,NA,54,54
183,4.10279,54,sesq,2,a,NA,Wholeplant,NA,54,54
184,3.53526,54,sesq,2.5,a,NA,Wholeplant,NA,54,54
185,2.27124,54,sesq,3,a,NA,Wholeplant,NA,54,54
186,2.66288,54,sesq,4,a,NA,Wholeplant,NA,54,54
187,3.14146,54,sesq,4.5,a,NA,Wholeplant,NA,54,54
188,3.0025,54,sesq,5,a,NA,Wholeplant,NA,54,54
189,1.78485,54,sesq,5.5,a,NA,Wholeplant,NA,54,54
190,1.00E-08,54,sesq,6,a,NA,Wholeplant,NA,54,54
191,2.32792,54,sesq,6.5,a,NA,Wholeplant,NA,54,54
192,0.0840571,54,sesq,7,a,NA,Wholeplant,NA,54,54
193,1.25052,54,sesq,7.5,a,NA,Wholeplant,NA,54,54
194,2.5864,54,sesq,8,a,NA,Wholeplant,NA,54,54
195,2.25795,54,sesq,8.5,a,NA,Wholeplant,NA,54,54
196,2.76373,54,sesq,9,a,NA,Wholeplant,NA,54,54
197,2.87356,54,sesq,9.5,a,NA,Wholeplant,NA,54,54
198,2.65096,54,sesq,10,a,NA,Wholeplant,NA,54,54
199,2.87557,54,sesq,10.5,a,NA,Wholeplant,NA,54,54
200,2.099,54,sesq,11,a,NA,Wholeplant,NA,54,54
201,2.7985,54,sesq,11.5,a,NA,Wholeplant,NA,54,54
202,1.6126,54,sesq,12,a,NA,Wholeplant,NA,54,54
203,1.94278,54,sesq,12.5,a,NA,Wholeplant,NA,54,54
204,2.49512,54,sesq,13,a,NA,Wholeplant,NA,54,54
205,2.6586,54,sesq,13.5,a,NA,Wholeplant,NA,54,54
206,2.87859,54,sesq,14,a,NA,Wholeplant,NA,54,54
207,2.04247,54,sesq,14.5,a,NA,Wholeplant,NA,54,54
208,2.25931,54,sesq,15,a,NA,Wholeplant,NA,54,54
209,1.865,54,sesq,15.5,a,NA,Wholeplant,NA,54,54
210,2.81319,54,sesq,16,a,NA,Wholeplant,NA,54,54
211,2.23885,54,sesq,16.5,a,NA,Wholeplant,NA,54,54
212,2.77777,54,sesq,17,a,NA,Wholeplant,NA,54,54
213,1.31328,54,sesq,17.5,a,NA,Wholeplant,NA,54,54
214,2.3098,54,sesq,18,a,NA,Wholeplant,NA,54,54
215,2.01377,54,sesq,18.5,a,NA,Wholeplant,NA,54,54
216,2.04579,54,sesq,19,a,NA,Wholeplant,NA,54,54
217,1.77905,54,sesq,19.5,a,NA,Wholeplant,NA,54,54
218,2.82939,54,sesq,20,a,NA,Wholeplant,NA,54,54
219,1.00E-08,54,sesq,20.5,a,NA,Wholeplant,NA,54,54
220,3.27255,54,sesq,21,a,NA,Wholeplant,NA,54,54
881,1.00E-08,60,DMNT,-1,b,15_min_feeding,Wholeplant,10.5,60,60
882,1.06574,60,DMNT,-0.5,b,15_min_feeding,Wholeplant,10.5,60,60
883,1.02973,60,DMNT,0,b,15_min_feeding,Wholeplant,10.5,60,60
884,1.0419,60,DMNT,0.5,b,15_min_feeding,Wholeplant,10.5,60,60
885,1.14867,60,DMNT,1,b,15_min_feeding,Wholeplant,10.5,60,60
